p-th Cyclo pol,#F_q (pol factored over F_q),sparsity,ord_p(q),sparsity <= ord_p(q)?
11,3,5,5,True
13,3,3,3,True
13,5,4,4,True
17,2,5,8,True
17,13,4,4,True
19,5,9,9,True
19,7,3,3,True
23,2,7,11,True
23,3,8,11,True
29,5,13,14,True
29,7,6,7,True
29,13,14,14,True
29,23,7,7,True
37,3,10,18,True
37,7,8,9,True
37,11,6,6,True
37,29,11,12,True
41,2,13,20,True
41,3,6,8,True
41,5,13,20,True
43,2,7,14,True
43,7,5,6,True
43,11,7,7,True
43,13,20,21,True
43,17,21,21,True
47,2,15,23,True
47,3,14,23,True
47,7,19,23,True
53,7,18,26,True
53,11,23,26,True
53,17,25,26,True
59,3,23,29,True
59,5,23,29,True
59,7,26,29,True
59,17,28,29,True
59,19,29,29,True
59,29,29,29,True
61,3,7,10,True
61,5,25,30,True
61,11,4,4,True
61,13,3,3,True
61,19,27,30,True
67,3,10,22,True
67,5,16,22,True
67,17,33,33,True
67,19,31,33,True
67,23,33,33,True
67,29,3,3,True
71,2,15,35,True
71,3,23,35,True
71,5,4,5,True
71,19,33,35,True
71,23,13,14,True
73,2,3,9,True
73,3,6,12,True
73,7,23,24,True
73,17,21,24,True
73,19,35,36,True
73,23,35,36,True
79,2,23,39,True
79,5,31,39,True
79,11,36,39,True
79,17,23,26,True
79,19,37,39,True
83,3,29,41,True
83,7,38,41,True
83,11,38,41,True
83,17,41,41,True
83,23,41,41,True
83,29,40,41,True
89,2,5,11,True
89,5,31,44,True
89,11,21,22,True
89,17,41,44,True
97,2,17,48,True
97,3,29,48,True
97,11,41,48,True
97,19,30,32,True
101,5,21,25,True
101,13,47,50,True
101,17,9,10,True
101,19,19,25,True
101,23,49,50,True
103,2,27,51,True
103,3,21,34,True
103,7,48,51,True
103,13,17,17,True
103,19,51,51,True
103,23,16,17,True
103,29,50,51,True
107,3,38,53,True
107,11,50,53,True
107,13,47,53,True
107,19,53,53,True
107,23,51,53,True
107,29,51,53,True
109,2,19,36,True
109,3,18,27,True
109,5,22,27,True
109,7,22,27,True
109,17,33,36,True
109,19,34,36,True
109,29,51,54,True
113,2,13,28,True
113,7,11,14,True
113,11,51,56,True
113,13,55,56,True
131,3,50,65,True
131,5,53,65,True
131,7,55,65,True
131,11,56,65,True
131,13,62,65,True
131,19,25,26,True
137,2,39,68,True
137,7,63,68,True
137,11,55,68,True
137,17,57,68,True
137,19,67,68,True
139,5,54,69,True
139,7,63,69,True
139,11,61,69,True
139,13,68,69,True
139,23,43,46,True
139,29,68,69,True
149,5,30,37,True
149,7,61,74,True
149,17,35,37,True
149,19,36,37,True
149,29,37,37,True
151,2,9,15,True
151,3,33,50,True
151,5,65,75,True
151,11,70,75,True
151,17,73,75,True
151,19,5,5,True
151,23,29,30,True
151,29,25,25,True
